지점명,주소
신제주연동점,제주 제주시 신대로 14길 52
제주공항점(오픈예정),제주 제주시 공항로 2 1층
제주삼화지구점,제주 제주시 건주로4길 6-1
제주시청점,제주특별자치도 제주시 서광로 301
계룡엄사점,충남 계룡시 엄사면 엄사중앙로 108 102호
당진점,충남 당진시 당진중앙2로 103-15
서산호수공원점,충남 서산시 호수공원10로 35
아산배방점,충남 아산시 배방읍 배방로 33
아산터미널점,충남 아산시 번영로 216
천안성정점,충남 천안시 서북구 성정공원3길 4
천안신방점,충청남도 천안시 동남구 신방동 887
천안신불당점,충청남도 천안시 서북구 불당25로 142 골든프라자
천안청당점,"충남남도 천안시 동남구 청수4로18, 103호"
천안터미널점,충남 천안시 동남구 신부동 462-5
가경터미널점,충청북도 청주시 흥덕구 강서로 118
청주오송점,충북 청주시 흥덕구 오송읍 오송생명로 210 101호
청주율량점,충청북도 청주시 청원구 주성로279번길 22
청주지웰시티점,충북 청주시 흥덕구 복대동 545-8번지
